No,KABUPATEN,TAHUN,JUMLAH_LONGSOR,JIWA_TERDAMPAK,JIWA_MENINGGAL,RUSAK_TERDAMPAK,RUSAK_RINGAN,RUSAK_SEDANG,RUSAK_BERAT,TERTIMBUN,LATITUDE,LONGITUDE
1,KABUPATEN BOGOR,2021,225,2673,0,405,213,143,49,0,-6.479036227,106.8245455
2,KABUPATEN SUKABUMI,2021,147,311,3,82,24,39,19,14,-6.988837162,106.550721
3,KABUPATEN CIANJUR,2021,27,227,1,48,14,24,10,0,-6.822804425,107.1393626
4,KABUPATEN BANDUNG,2021,60,285,3,44,17,13,14,15,-7.021892955,107.5277269
5,KABUPATEN GARUT,2021,42,294,0,17,1,6,10,2,-7.202181896,107.8870055
6,KABUPATEN TASIKMALAYA,2021,7,0,0,1,0,1,0,0,-7.339820818,108.1102364
7,KABUPATEN CIAMIS,2021,72,423,0,142,82,49,11,0,-7.325855227,108.3510117
8,KABUPATEN KUNINGAN,2021,49,131,0,17,9,6,2,0,-6.973888894,108.48347
9,KABUPATEN CIREBON,2021,6,14,0,2,1,0,1,0,-6.738233144,108.4744561
10,KABUPATEN MAJALENGKA,2021,32,142,0,38,12,19,7,0,-6.833231856,108.2272315
11,KABUPATEN SUMEDANG,2021,86,221,2,71,34,14,23,0,-6.838884433,107.9191126
12,KABUPATEN INDRAMAYU,2021,1,0,0,0,0,0,0,0,-6.32705888,108.3231233
13,KABUPATEN SUBANG,2021,12,15,0,0,0,0,0,0,-6.571366802,107.7623546
14,KABUPATEN PURWAKARTA,2021,19,440,0,153,54,11,88,0,-6.557066714,107.4422768
15,KABUPATEN KARAWANG,2021,4,78,0,24,2,18,4,0,-6.301781534,107.3047898
16,KABUPATEN BEKASI,2021,2,56,0,14,0,1,13,0,-6.364604176,107.1723293
17,KABUPATEN BANDUNG BARAT,2021,54,271,1,50,16,22,12,0,-6.835020497,107.5105802
18,KABUPATEN PANGANDARAN,2021,3,4,0,2,0,1,1,0,-7.700090202,108.4944775
19,KOTA BOGOR,2021,159,626,0,104,41,52,11,0,-6.595081384,106.7936805
20,KOTA SUKABUMI,2021,2,5,2,2,2,0,0,0,-6.91770308,106.9315006
21,KOTA BANDUNG,2021,5,21,0,4,0,0,4,0,-6.910655824,107.6098373
22,KOTA CIREBON,2021,2,0,1,1,0,1,0,0,-6.706746862,108.5581087
23,KOTA BEKASI,2021,2,0,0,0,0,0,0,0,-6.235769387,106.9941055
24,KOTA DEPOK,2021,2,0,0,0,0,0,0,0,-6.39434469,106.8223459
25,KOTA CIMAHI,2021,4,15,0,4,2,1,1,0,-6.870573209,107.5549636
26,KOTA TASIKMALAYA,2021,2,2,0,1,1,0,0,0,-7.316301795,108.196696
27,KOTA BANJAR,2021,3,0,0,0,0,0,0,0,-7.322627893,108.5638102
28,KABUPATEN BOGOR,2022,103,1440,7,417,167,179,71,0,-6.479036227,106.8245455
29,KABUPATEN SUKABUMI,2022,96,1912,6,476,168,179,132,3,-6.988837162,106.550721
30,KABUPATEN CIANJUR,2022,32,696,4,76,20,32,24,0,-6.822804425,107.1393626
31,KABUPATEN BANDUNG,2022,29,150,6,46,16,20,10,0,-7.021892955,107.5277269
32,KABUPATEN GARUT,2022,28,467,2,115,88,20,7,8,-7.202181896,107.8870055
33,KABUPATEN TASIKMALAYA,2022,8,13,0,44,40,2,2,0,-7.339820818,108.1102364
34,KABUPATEN CIAMIS,2022,35,279,2,100,54,35,11,0,-7.325855227,108.3510117
35,KABUPATEN KUNINGAN,2022,18,104,0,34,19,11,4,0,-6.973888894,108.48347
36,KABUPATEN CIREBON,2022,2,13,0,1,0,1,0,0,-6.738233144,108.4744561
37,KABUPATEN MAJALENGKA,2022,25,197,0,56,35,17,4,0,-6.833231856,108.2272315
38,KABUPATEN SUMEDANG,2022,21,268,4,14,4,8,2,3,-6.838884433,107.9191126
39,KABUPATEN INDRAMAYU,2022,1,2,0,0,0,0,0,0,-6.32705888,108.3231233
40,KABUPATEN SUBANG,2022,9,4,0,10,4,4,2,0,-6.571366802,107.7623546
41,KABUPATEN PURWAKARTA,2022,13,11,2,14,5,3,6,0,-6.557066714,107.4422768
42,KABUPATEN KARAWANG,2022,2,0,0,6,4,0,2,0,-6.301781534,107.3047898
43,KABUPATEN BEKASI,2022,2,1,0,1,0,0,1,0,-6.364604176,107.1723293
44,KABUPATEN BANDUNG BARAT,2022,46,326,4,109,34,29,46,0,-6.835020497,107.5105802
45,KABUPATEN PANGANDARAN,2022,4,75,0,18,2,10,6,0,-7.700090202,108.4944775
46,KOTA BOGOR,2022,40,508,6,104,27,52,25,0,-6.595081384,106.7936805
47,KOTA SUKABUMI,2022,13,159,0,43,24,16,3,0,-6.91770308,106.9315006
48,KOTA BANDUNG,2022,1,0,0,0,0,0,0,0,-6.910655824,107.6098373
49,KOTA CIREBON,2022,1,21,0,1,0,1,0,0,-6.706746862,108.5581087
50,KOTA BEKASI,2022,3,19,0,7,0,7,0,0,-6.235769387,106.9941055
51,KOTA DEPOK,2022,1,1,2,0,0,0,0,0,-6.39434469,106.8223459
52,KOTA CIMAHI,2022,6,37,0,8,1,7,0,0,-6.870573209,107.5549636
53,KOTA TASIKMALAYA,2022,8,13,0,44,40,2,2,0,-7.316301795,108.196696
54,KOTA BANJAR,2022,0,0,0,0,0,0,0,0,-7.322627893,108.5638102
55,KABUPATEN BOGOR,2023,109,2241,4,441,163,220,58,11,-6.479036227,106.8245455
56,KABUPATEN SUKABUMI,2023,56,386,1,116,29,64,23,2,-6.988837162,106.550721
57,KABUPATEN CIANJUR,2023,13,114,3,44,18,6,20,0,-6.822804425,107.1393626
58,KABUPATEN BANDUNG,2023,33,363,0,67,25,34,8,0,-7.021892955,107.5277269
59,KABUPATEN GARUT,2023,17,304,1,11,6,3,2,15,-7.202181896,107.8870055
60,KABUPATEN TASIKMALAYA,2023,8,43,2,23,11,9,3,0,-7.339820818,108.1102364
61,KABUPATEN CIAMIS,2023,26,283,2,73,46,20,7,0,-7.325855227,108.3510117
62,KABUPATEN KUNINGAN,2023,9,69,1,26,10,15,1,0,-6.973888894,108.48347
63,KABUPATEN CIREBON,2023,1,5,0,1,0,1,0,0,-6.738233144,108.4744561
64,KABUPATEN MAJALENGKA,2023,21,536,0,184,119,30,35,0,-6.833231856,108.2272315
65,KABUPATEN SUMEDANG,2023,8,67,0,25,15,8,2,0,-6.838884433,107.9191126
66,KABUPATEN INDRAMAYU,2023,0,0,0,0,0,0,0,0,-6.32705888,108.3231233
67,KABUPATEN SUBANG,2023,7,28,0,5,2,1,2,0,-6.571366802,107.7623546
68,KABUPATEN PURWAKARTA,2023,25,373,0,110,45,34,31,0,-6.557066714,107.4422768
69,KABUPATEN KARAWANG,2023,4,44,0,10,3,4,3,0,-6.301781534,107.3047898
70,KABUPATEN BEKASI,2023,4,20,0,8,1,5,2,0,-6.364604176,107.1723293
71,KABUPATEN BANDUNG BARAT,2023,43,148,0,200,90,72,38,5,-6.835020497,107.5105802
72,KABUPATEN PANGANDARAN,2023,4,13,3,3,1,1,1,0,-7.700090202,108.4944775
73,KOTA BOGOR,2023,37,449,7,63,7,33,23,61,-6.595081384,106.7936805
74,KOTA SUKABUMI,2023,56,386,1,116,29,64,23,2,-6.91770308,106.9315006
75,KOTA BANDUNG,2023,6,38,2,6,0,4,2,2,-6.910655824,107.6098373
76,KOTA CIREBON,2023,2,2,0,2,2,0,0,0,-6.706746862,108.5581087
77,KOTA BEKASI,2023,1,0,0,8,6,2,0,0,-6.235769387,106.9941055
78,KOTA DEPOK,2023,2,0,0,3,0,0,3,0,-6.39434469,106.8223459
79,KOTA CIMAHI,2023,11,34,12,1,10,1,0,0,-6.870573209,107.5549636
80,KOTA TASIKMALAYA,2023,10,103,0,40,17,14,9,0,-7.316301795,108.196696
81,KOTA BANJAR,2023,2,0,0,2,0,1,1,0,-7.322627893,108.5638102
